"question","A","B","C","D","answer","subject"
"Suppose that the 13C nuclei in a molecule in a 600 MHz spectrometer can be 100% polarized (p = 1). If T1 = 5.0 s, how long does it take for p to reach a value equal to twice the thermal equilibrium polarization at 298 K?","[The polarization relaxes exponentially: p(t) = [p(0) - peq]exp(-t/T1) + peq.]","72.0 s","56.6 s","12.7 s","B","college_chemistry"
"Two computers communicate with each other by sending data packets across a local area network. The size of these packets is 1,000 bytes. The network has the capacity to carry 1,000 packets per second. The CPU time required to execute the network protocol to send one packet is 10 milliseconds. The maximum rate at which one computer can send data to another is approximately","10,000 bytes/second","25,000 bytes/ second","100,000 bytes/ second","500,000 bytes/ second","C","college_computer_science"
"Consider the following grammar.
S → ( S )
S → x
Which of the following statements is (are) true?
I. The grammar is ambiguous.
II. The grammar is suitable for top-down parsing.
III. The grammar is suitable for bottom-up parsing.","I only","II only","III only","II and III only","D","college_computer_science"
"Array A contains 256 elements of 4 bytes each. Its first element is stored at physical address 4,096.
Array B contains 512 elements of 4 bytes each. Its first element is stored at physical address 8,192.
Assume that only arrays A and B can be cached in an initially empty, physically addressed, physically tagged, direct-mapped, 2K-byte cache with an 8-byte block size. The following loop is then executed.
for (i = 0; i < 256; i++)
        A[i] = A[i] + B[2*i];
During the execution of the loop, how many bytes will be written to memory if the cache has a write-back policy?","0","256","1024","2000","A","college_computer_science"
"Let x_1 = 1 and x_(n+1) = sqrt(3+2x_n) for all positive integers n. If it is assumed that {x_n} converges, then lim x_n =","3","e","sqrt(5)","0","A","college_mathematics"
"What is the minimum value of the expression x + 4z as a function defined on R^3, subject to the constraint x^2 + y^2 + z^2 <= 2?","0","-2","-sqrt(34)","-sqrt(35)","C","college_mathematics"
"Which of the following is NOT a group?","The integers under addition","The nonzero integers under multiplication","The nonzero real numbers under multiplication","The complex numbers under addition","B","college_mathematics"
"The net production of ATP via substrate-level phosphorylation in glycolysis is:","2 from glucose and 3 from glycogen.","2 from glucose and 4 from glycogen.","3 from glucose and 4 from glycogen.","3 from glucose and 2 from glycogen.","A","college_medicine"
"The body compensates for increased environmental temperature by:","decreasing salt retention","increasing respiration rate","increasing heart rate","increasing water lost through skin","D","college_medicine"
"The key attribute in successful marathon running is:","strength.","power.","stride length.","stamina.","D","college_medicine"
"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons","an average of 10 times, with an rms deviation of about 4","an average of 10 times, with an rms deviation of about 3","an average of 10 times, with an rms deviation of about 1","an average of 10 times, with an rms deviation of about 0.1","B","college_physics"
"According to the BCS theory, the attraction between Cooper pairs in a superconductor is due to","the weak nuclear force","the strong nuclear force","vacuum polarization","interactions with the ionic lattice","D","college_physics"
"A particle is constrained to move in a circle with a 10-meter radius. At one instant, the particle’s speed is 10 meters per second and is increasing at a rate of 10 meters per second squared. The angle between the particle’s velocity and acceleration vectors is","0°","30°","45°","60°","C","college_physics"
"Which of the following are most vulnerable to injection attacks?","Session IDs","Registry keys","Network communications","SQL queries based on user input","D","computer_security"
"Let suppose a search box of an application can take at most 200 words, and you’ve inserted more than that and pressed the search button; the system crashes. Usually this is because of limited __________","buffer","external storage","processing power","local storage","A","computer_security"
"Which of the following deals with network intrusion detection and real-time traffic analysis?","John the Ripper","L0phtCrack","Snort","Nessus","C","computer_security"
"A step-up transformer in an electrical circuit can step up","voltage","energy","Both of these","Neither of these","A","conceptual_physics"
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be","one-quarter the value for a tube open at both ends","one-half the value for a tube open at both ends","twice the value for a tube open at both ends","four times the value for a tube open at both ends","B","conceptual_physics"
"To receive an electric shock there must be a","current in one direction.","presence of moisture.","high voltage and low body resistance.","voltage difference across part or all of your body.","D","conceptual_physics"
"Suppose that 100 separate firms were tested to determine how many of them ""beat the market"" using a Jensen-type regression, and it is found that 3 fund managers significantly do so. Does this suggest prima facie evidence for stock market inefficiency?","Yes","No","In order to answer this question, you would need to test every fund manager trading in that market","There is insufficient information given in the question to draw a conclusion about market efficiency.","B","econometrics"
"Which of the following statements will be true if the number of replications used in a Monte Carlo study is small?

i) The statistic of interest may be estimated imprecisely


ii) The results may be affected by unrepresentative combinations of random draws


iii) The standard errors on the estimated quantities may be unacceptably large


iv) Variance reduction techniques can be used to reduce the standard errors","(ii) and (iv) only","(i) and (iii) only","(i), (ii), and (iv) only","(i), (ii), (iii), and (iv)","D","econometrics"
"If OLS is applied separately to each equation that is part of a simultaneous system, the resulting estimates will be","Unbiased and consistent","Biased but consistent","Biased and inconsistent","It is impossible to apply OLS to equations that are part of a simultaneous system","C","econometrics"
"LC oscillators are used for produce a waveform with frequency ranging from","1MHz to 500 MHz","100 KHz to 500 MHz","1 KHz to 1 MHz","1MHz to 100 GHz","A","electrical_engineering"
"The latching current of SCR is 20 mA. Its holding current will be","23 mA.","40 mA.","10 mA.","60 mA.","C","electrical_engineering"
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is","0.015 joule.","0.15 joule.","0.015 joule.","1.15 joule.","B","electrical_engineering"
"Which list of numbers is ordered from least to greatest?","167,213, 161,455, 17,400, 11,633","10,354, 10,600, 104,321, 106,213","160,233, 171,141, 11,645, 16,703","12,209, 12,902, 125,466, 125,464","B","elementary_mathematics"
"An ice cream shopsold 48 vanilla milkshakes in a day, which was 40% of the total number of milkshakes sold that day. What was the total number of milkshakes that the ice cream shop sold that day?","60","72","100","120","D","elementary_mathematics"
"What is 0.3 × 427?","0.1281","1.281","12.81","128.1","D","elementary_mathematics"
" Select the best translation into predicate logic. Some animals are neglected by cruel people. (Ax: x is an animal; Cx: x is cruel; Px: x is a person; Nxy: x neglects y)","(∃x)[(Ax • Cx) • (∃y)(Py • Nyx)]","(∃x)[(Cx • Px) • (∃y)(Ay • Nxy)]","(∃x)[(Ax • Px) • (∃y)(Cy • Nxy)]","(∃x)(∃y){[(Ax • Cy) • Py] • Nxy)]}","B","formal_logic"
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~S ∨ T
~S · U
~T ∨ U / T · U","Valid","Invalid. Counterexample when S, T, and U are true","Invalid. Counterexample when S and U are true and T is false","Invalid. Counterexample when U is true and S and T are false","D","formal_logic"
" S Select the best translation into predicate logic. Some kind people help some endangered species. (Ex: x is endangered; Kx: x is kind; Px: x is a person; Sx: x is a species; Hxy: x helps y)","(∃x){(Kx • Px) • (∃y)[(Ey • Sy) • Hxy]}","(∃x)(∃y){[(Kx • Sx) • (Ey • Py)] • Hxy}","(∃x)(∃y){[(Kx • Sx) • (Ey • Py)] • Hyx}","(∃x)(∃y){[(Kx • Px) • (Ey • Sy)] ⊃ Hxy}","A","formal_logic"
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?","14%","24%","34%","44%","A","global_facts"
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?","12 years","9 years","6 years","3 years","B","global_facts"
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?","41%","56%","71%","86%","B","global_facts"
"Sexual dimorphism is most often a result of","pansexual selection.","stabilizing selection.","intrasexual selection.","intersexual selection.","D","high_school_biology"
"Chemiosmosis occurs in I.Mitochondria II. Nuclei III. Chloroplasts","I only","II only","III only","I and III","D","high_school_biology"
"A proficient engineer can easily design skeletal structures that are more functional than those currently found in the forelimbs of such diverse mammals as horses, whales, and bats. That the actual forelimbs of these mammals do not seem to be optimally arranged is because","natural selection has not had sufficient time to create the optimal design in each case, but will do so given enough time.","natural selection operates in ways that are beyond the capability of the human mind to comprehend.","in many cases, phenotype is not merely determined by genotype, but by the environment as well.","natural selection is generally limited to modifying structures that were present in previous generations and in previous species.","D","high_school_biology"
"Joseph Priestly discovered oxygen gas by the decomposition of solid mercury(II) oxide, HgO, to oxygen gas, O2, and liquid mercury metal, Hg. How many moles of oxygen gas will form when 4.32 g of solid mercury(II) oxide decomposes? The formula mass of mercury(II) oxide is 216 g mol^-1.","0.100 mol","0.0100 mol","0.0200 mol","0.0150 mol","B","high_school_chemistry"
"Which of the following correctly lists the individual intermolecular attractive forces from the strongest to the weakest?","Induced dipole < dipole-dipole < hydrogen bond","Hydrogen bond < dipole-dipole < induced dipole","Induced dipole < hydrogen bond < dipole-dipole","Dipole-dipole < hydrogen bond < induced dipole","B","high_school_chemistry"
"Which is correct about the calcium atom?","It contains 20 protons and neutrons","It contains 20 protons and 20 electrons","It contains 20 protons, neutrons, and electrons","All atoms of calcium have a mass of 40.078 u","B","high_school_chemistry"
"An online store uses 6-bit binary sequences to identify each unique item for sale. The store plans to increase the number of items it sells and is considering using 7-bit binary sequences. Which of the following best describes the result of using 7-bit sequences instead of 6- bit sequences?","2 more items can be uniquely identified.","10 more items can be uniquely identified.","2 times as many items can be uniquely identified.","10 times as many items can be uniquely identified.","C","high_school_computer_science"
"The color of a pixel can be represented using the RGB (Red, Green, Blue) color model, which stores values for red, green, and blue, each ranging from 0 to 255. How many bits (binary digits) would be needed to represent a color in the RGB model?","8","16","24","32","C","high_school_computer_science"
"Consider the following code segment, which uses the variables r, s, and t.
  r ← 1
   s ← 2
   t ← 3
   r ← s
   s ← t
   DISPLAY (r)
   DISPLAY (s)

 What is displayed as a result of running the code segment?","1 1","1 2","2 3","3 2","C","high_school_computer_science"
"This question refers to the following information.
Read the the following poem to answer questions.
Take up the White Man's burden—
Send forth the best ye breed—
Go bind your sons to exile
To serve your captives' need;
To wait in heavy harness,
On fluttered folk and wild—
Your new-caught, sullen peoples,
Half-devil and half-child.
...
Take up the White Man's burden—
The savage wars of peace—
Fill full the mouth of Famine
And bid the sickness cease;
And when your goal is nearest
The end for others sought…
Watch sloth and heathen Folly
Bring all your hopes to naught.
Rudyard Kipling, The White Man's Burden, 1899
Based on this poem, Kipling's conception of the British imperial mission could best be summed up as","a difficult but necessary task","a ruthless exercise of power","a glorious, religious responsibility","a hopeless task with no purpose","A","high_school_european_history"
"This question refers to the following information.
Read the following governmental report.
Of the 450 sick persons whom the inhabitants were unable to relieve, 200 were turned out, and these we saw die one by one as they lay on the roadside. A large number still remain, and to each of them it is only possible to dole out the least scrap of bread. We only give bread to those who would otherwise die. The staple dish here consists of mice, which the inhabitants hunt, so desperate are they from hunger. They devour roots which the animals cannot eat; one can, in fact, not put into words the things one sees. . . . This narrative, far from exaggerating, rather understates the horror of the case, for it does not record the hundredth part of the misery in this district. Those who have not witnessed it with their own eyes cannot imagine how great it is. Not a day passes but at least 200 people die of famine in the two provinces. We certify to having ourselves seen herds, not of cattle, but of men and women, wandering about the fields between Rheims and Rhétel, turning up the earth like pigs to find a few roots; and as they can only find rotten ones, and not half enough of them, they become so weak that they have not strength left to seek food. The parish priest at Boult, whose letter we enclose, tells us he has buried three of his parishioners who died of hunger. The rest subsisted on chopped straw mixed with earth, of which they composed a food which cannot be called bread. Other persons in the same place lived on the bodies of animals which had died of disease, and which the curé, otherwise unable to help his people, allowed them to roast at the presbytery fire.
—Report of the Estates of Normandy, 1651
Which of the following would be most responsible for ending the problems of hunger mentioned above?","The elimination of the Black Plague in Europe during the seventeenth century","The elimination of fallow fields through the agricultural revolution during the seventeenth century","The creation of a strong putting-out system that allowed people to be paid for their work","A declining population during the seventeenth century that led to better food yields and less hunger as Europe urbanized","B","high_school_european_history"
"This question refers to the following information.
""After all the slaves had been brought together and severally marked with the letter G, the emperor's fifths and then Cortés' were deducted before we were aware of it; and, besides this, on the night preceding, the finest of the Indian females had been secretly set apart, so that when it came to a division among us soldiers, we found none left but old and ugly women&….Another soldier asked Cortés if the division he had made of the gold in Mexico was not a sufficient imposition, for, at first, he had merely spoken of 300,000 pesos, but when we were obliged to retreat from the city, it was estimated at 700,000 pesos. And now he was going to deprive the poor soldier, who had undergone so many hardships, and suffered from innumerable wounds, of this small remuneration, and not even allow him a pretty Indian female for a companion&…
[Later], when Cortés learnt that there were still a great many bars of gold among the men, and heavy gambling in consequence, (for, according to the old saying, gold and love cannot lie long concealed,) he made known, under threats of severe punishment, that everyone should produce the gold he had obtained on the night of our retreat, of which one third was to be returned to him; but that anyone who refused to pay this, should have the whole taken from him. Many of our men refused downright to comply with this; yet Cortés managed to extort a good deal of it under the pretence of a loan&…""
The Memoirs of the Conquistador Bernal Diaz del Castillo, 1568
Upon the return of Cortés's expedition, which of the following was a consequence of the actions described in the memoir?","A decentralized political state","A strengthened agricultural sector","An increased rate of inflation","Less tolerance for Jews and Muslims","C","high_school_european_history"
"The voluntary association of three or more countries willing to give up some measure of sovereignty is called","nationalism.","devolution.","supranationalism.","complementarity.","C","high_school_geography"
"All the following factors can be considered pull factors of migration EXCEPT","safety.","better climate.","better schools.","overcrowding.","D","high_school_geography"
"Which one of the following is NOT a centripetal force in a state?","A high level of confidence in central government","The existence of strong separatist groups","The existence of national transportation networks","The national anthem","B","high_school_geography"
"Which of the following best illustrates a use of the elastic clause?","The Supreme Court allows a lower court ruling to stand by refusing to hear an appeal.","A congressional committee prevents the full chamber from voting on legislation by delaying its report.","Congress passes legislation establishing a national speed limit.","A member of the House of Representatives introduces a bill to increase federal income tax rates.","C","high_school_government_and_politics"
"Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?","Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.","Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.","Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.","State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.","D","high_school_government_and_politics"
"The Commerce Clause of the Constitution has been used to","release detainees from prison following unlawful arrest","maintain the navy","increase the power of the national government","veto legislative bills of attainder","C","high_school_government_and_politics"
"The standard of living is measured by","GDP.","GDP per capita.","Real GDP per capita.","Actual GI)P per capita.","C","high_school_macroeconomics"
"The government has just lowered personal income taxes. Which of the following best describes the effects that this policy has on the economy?","Higher disposable income higher consumption higher real GDP lower unemployment","Higher disposable income lower consumption higher real GDP lower unemployment","Lower disposable income higher consumption higher real GDP lower unemployment","Lower disposable income lower consumption lower real GDP higher unemployment","A","high_school_macroeconomics"
"At the break-even point","the expenses of corporations just equal their revenues.","household spending equals household income.","total spending equals income.","dissaving occurs and inventories are accumulating.","C","high_school_macroeconomics"
"A solid is cut out of a sphere of radius 2 by two parallel planes each 1 unit from the center. The volume of this solid is","8π","32π/3","25π/3","22π/3","D","high_school_mathematics"
"John has five children. What is the probability that at least half of them are girls? (We can assume a boy is equally likely to be born as is a girl, and vice-versa.)","\frac{1}{2}","\frac{1}{4}","\frac{1}{8}","\frac{3}{5}","A","high_school_mathematics"
"Consider two positive even integers less than $15$ (not necessarily distinct). When the sum of these two numbers is added to their product, how many different possible values may result?","21","27","49","45","B","high_school_mathematics"
"If the demand for grapes increases simultaneously with an increase in the supply of grapes, we can say that","equilibrium quantity rises, but the price change is ambiguous.","equilibrium quantity falls, but the price change is ambiguous.","equilibrium quantity rises, and the price rises.","equilibrium quantity falls, and the price falls.","A","high_school_microeconomics"
"One of the reasons that the government discourages and regulates monopolies is that","producer surplus is lost and consumer surplus is gained.","monopoly prices ensure productive efficiency but cost society allocative efficiency.","monopoly firms do not engage in significant research and development.","consumer surplus is lost with higher prices and lower levels of output.","D","high_school_microeconomics"
"Which of the following is an example of an economic rent?","A superstar basketball player's $50 million earnings.","A social security retirement income.","A welfare payment from social services.","A check to a college student from a parent or guardian.","A","high_school_microeconomics"
"Physics students are checking the constant acceleration equations of kinematics by measuring the velocity of a tennis ball that is dropped and falls 6 meters and then passes through a photogate. The predicted velocity is 20% above the velocity measured by the photogate. Which of the following best describes the cause of the large percent difference?","The ball changes its shape while falling.","The acceleration of gravity varies as the ball is falling.","Air resistance increases the acceleration of the ball.","The acceleration of the balls varies with the velocity.","D","high_school_physics"
"A sphere, a cube, and a cylinder, all of equal mass, are released from rest from the top of a short incline. The surface of the incline is extremely slick, so much so that the objects do not rotate when released, but rather slide with negligible friction. Which reaches the base of the incline first?","the sphere","the cube","the cylinder","All reach the base at the same time.","D","high_school_physics"
"A children’s toy consists of a cart whose very light wheels are attached to a rubber band. This rubber band can wind and unwind around the axle supporting the wheels. This toy is given a shove, after which the toy rolls across a flat surface and up a ramp. It is observed that the toy does not go a consistent distance up the ramp—in some trials it ends up higher than in other trials, even though the shove imparts the same kinetic energy to the cart each time. Which of the following is a reasonable explanation for this phenomenon?","Depending on how the rubber band is initially wound, more or less potential energy can be transferred from the rubber band to the kinetic energy of the car’s motion.","The normal force on the cart’s wheels will be different depending on how much the rubber band winds or unwinds.","How much energy is transferred from kinetic energy to gravitational potential energy depends on the vertical height at which the cart ends up.","Some of the cart’s initial kinetic energy will be dissipated due to work done by friction.","A","high_school_physics"
"The superintendent of a large school district asks the school psychologist to predict students' grade point averages (GPAs) for the first year of high school. The school psychologist has included achievement and aptitude scores as predictor variables for firstyear high school GPA in a regression analysis and is considering whether to also administer a school interest inventory and include those scores. The major concern of the school psychologist when making this decision should be which of the following?","The intercorrelation of the aptitude and achievement test scores","The degree to which the school interest inventory score raises the multiple correlation when it is included as a predictor variable of first-year high school GPA","The zero-order correlation of first-year high school GPA and the school interest inventory score","The difference in the correlations of the school interest inventory scores with first-year high school GPA and the aptitude and achievement test scores with first-year high school GPA","B","high_school_psychology"
"Your little cousin watches you at the computer, and when you get up, he immediately tries to use the keyboard. His behavior in this situation can best be explained on the basis of","superstition","classical conditioning","operant aversive conditioning","modeling","D","high_school_psychology"
"Research indicates that which of the following factors most influence a person's sexual orientation?","parenting style","masculine/feminine personality traits","hormones released in the womb","sexual orientation of parents","C","high_school_psychology"
"Students in AP Statistics class were timed in seconds while solving a series of mathematical brainteasers. One student's time had a standardized score of z = 2.40. If the times are all changed to minutes, what will then be the student's standardized score?","z = 0.04","z = 0.4","z = 1.80","z = 2.40","D","high_school_statistics"
"Which of the following is a true statement?","While properly designed experiments can strongly suggest cause-and-effect relationships, a complete census is the only way of establishing such a relationship.","If properly designed, observational studies can establish cause-and-effect relationships just as strongly as properly designed experiments.","Controlled experiments are often undertaken later to establish cause-and-effect relationships first suggested by observational studies.","A useful approach to overcome bias in observational studies is to increase the sample size.","C","high_school_statistics"
"In a clinical trial, 30 sickle cell anemia patients are randomly assigned to two groups. One group receives the currently marketed medicine, and the other group receives an experimental medicine. Each week, patients report to the clinic where blood tests are conducted. The lab technician is unaware of the kind of medicine the patient is taking. This design can be described as","a completely randomized design, with the currently marketed medicine and the experimental medicine as two treatments","a matched-pairs design, with the currently marketed medicine and the experimental medicine forming a pair","a randomized block design, with the currently marketed medicine and the experimental medicine as two blocks","a randomized block design, with the currently marketed medicine and the experimental medicine as two treatments","A","high_school_statistics"
"This question refers to the following information.
The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.
At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two acts—one of international terrorism and one of military aggression—present a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.…
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.
Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.
—Jimmy Carter, State of the Union Address, January 23, 1980
Which of the following best expresses Carter's approach to foreign policy in the passage above?","Isolationism","Appeasement","Containment","A call for war","C","high_school_us_history"
"This question refers to the following information.
""I was once a tool of oppression
And as green as a sucker could be
And monopolies banded together
To beat a poor hayseed like me.
""The railroads and old party bosses
Together did sweetly agree;
And they thought there would be little trouble
In working a hayseed like me. . . .""
—""The Hayseed""
The song, and the movement that it was connected to, highlight which of the following developments in the broader society in the late 1800s?","Corruption in government—especially as it related to big business—energized the public to demand increased popular control and reform of local, state, and national governments.","A large-scale movement of struggling African American and white farmers, as well as urban factory workers, was able to exert a great deal of leverage over federal legislation.","The two-party system of the era broke down and led to the emergence of an additional major party that was able to win control of Congress within ten years of its founding.","Continued skirmishes on the frontier in the 1890s with American Indians created a sense of fear and bitterness among western farmers.","A","high_school_us_history"
"This question refers to the following information.
Of all the band of adventurous cavaliers, whom Spain, in the sixteenth century, sent forth on the career of discovery and conquest, there was none more deeply filled with the spirit of romantic enterprise than Hernando Cortes. Dangers and difficulties, instead of deterring, seemed to have a charm in his eyes.… He conceived, at the first moment of his landing in Mexico, the design of its conquest. When he saw the strength of its civilization, he was not turned from his purpose.… This spirit of knight-errantry might lead us to undervalue his talents as a general, and to regard him merely in the light of a lucky adventurer. But this would be doing him injustice; for Cortes was certainly a great general, if that man be one, who performs great achievements with the resources which his own genius has created. There is probably no instance in history, where so vast an enterprise has been achieved by means apparently so inadequate.… He brought together the most miscellaneous collection of mercenaries who ever fought under one standard: adventurers from Cuba and the Isles, craving for gold; hidalgos, who came from the old country to win laurels; … wild tribes of the natives from all parts of the country, who had been sworn enemies from their cradles, and who had met only to cut one another's throats, and to procure victims for sacrifice; men, in short, differing in race, in language, and in interests, with scarcely anything in common among them. Yet this motley congregation was assembled in one camp, compelled to bend to the will of one man, to consort together in harmony, to breathe, as it were, one spirit, and to move on a common principle of action!
—William Hickling Prescott, History of the Conquest of Mexico, 1843
Given the perspective of the passage above, William Hickling Prescott believed which of the following about the conquest of the Aztec Empire?","The actions of Hernando Cortes were irrational.","The conquest of Mexico was a racist atrocity.","Cortes was chiefly motivated by a desire for wealth.","The Aztec Empire had to give way to the superior civilization of Spain.","D","high_school_us_history"
"This question refers to the following information.
At the peak of their power, the domains of the Mongol khans, or rulers, made up a vast realm in which once-hostile peoples lived together in peace and virtually all religions were tolerated. . . . The law code first promulgated by Chinggis Khan ordered human interaction. The result was an important new stage in international contact. From eastern Europe to southern China, merchants and travelers could move across the well-policed Mongol domains without fear for their lives or property. The great swath of Mongol territory that covered or connected most of Europe, Asia, and the Middle East served as a bridge between the civilizations of the Eastern Hemisphere. The caravans and embassies that crossed the Mongol lands transmitted new food, inventions, and ideas from one civilized pool to others and from civilized pools to the nomadic peoples who served as intermediaries. Secure trade routes made for prosperous merchants and wealthy, cosmopolitan cities. They also facilitated the spread of foods [and] inventions . . . a major force for economic and social development and the enhancement of civilized life.
—Robert Guisepi, 1992
The Mongol empire used which of the following to integrate its vast, geographically diverse area?","Emphasis on trade networks","Expansion of bureaucracy to reinforce dominance","The use of state-sponsored religion to legitimize the government","Expansion of an interregional canal system","A","high_school_world_history"
